SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
3M India Limited,BIRLA3M,3MINDIA,15-JUN-2004
Aban Offshore Ltd.,ABANLLOYD,ABANLOYD,17-JAN-2005
Aban Offshore Ltd.,ABANLOYD,ABAN,18-AUG-2006
Adani Enterprises Limited,ADANIEXPO,ADANIENT,20-SEP-2006
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO,07-DEC-2005
Ador Welding Limited,ADVANIORLI,ADORWELD,27-SEP-2004
Aftek Limited,AFTEKINFO,AFTEK,27-NOV-2006
Agro Tech Foods Limited,ITCAGRO,ATFL,31-DEC-2002
Alembic Limited,ALMBICHEM,ALEMBICLTD,22-SEP-1999
Alstom Projects India Limited,ABBALPO,APIL,19-MAY-2003
Ambuja Cement Rajasthan Limited,DLFCEMENT,AMBUJARAJN,20-AUG-2001
Ansal Properties & Infrastructure Limited,ANSALPROP,ANSALINFRA,27-JAN-2006
Apcotex Industries Limited,APCOTEXLAT,APCOTEXIND,01-NOV-2006
AstraZeneca Pharma India Limited,ASTRAIDL,ASTRAZEN,10-APR-2007
Atcom Technologies Limited,ATCOIND,ATCOM,29-APR-2004
Atn International Ltd,ARIHANTCRE,ATNINT,17-SEP-2003
Atul Ltd.,ATULPROD,ATUL,10-MAR-2005
Automotive Stampings and Assemblies Limited,JBMT,ASAL,14-OCT-2003
Avaya GlobalConnect Limited,TATATELECM,AVAYAGCL,01-NOV-2004
Aventis Pharma Limited,HOECHST,AVENTIS,19-MAY-2003
Axis-IT&T Limited,IT&T,AXIS-IT&T,16-AUG-2005
Aztecsoft Limited,AZTEC,AZTECSOFT,20-SEP-2006
BOC India Limited,IOL,BOC,10-MAR-2005
BSEL Infrastructure Realty Limited,BSELINFO,BSELINFRA,12-MAR-2004
Banco Products (I) Ltd,BANCOPROD,BANCOINDIA,22-DEC-2006
Bhagyanagar India Limited,BAGYAMETAL,BHAGYNAGAR,12-SEP-2006
Bhansali Engineering Polymers Ltd,BHANSALENG,BEPL,21-MAR-2005
Bharat Bijlee Ltd.,BARATBIJLE,BBL,21-NOV-2006
Bharti Airtel Limited,BHARTI,BHARTIARTL,19-JUN-2006
Bihar Caustics And Chemicals Ltd,BIHARCAUST,BCCL,05-DEC-2005
Birla Power Solutions Limited,BIRLAYAMAH,BIRLAPOWER,06-JUN-2007
Blue Coast Hotels and Resorts Limited,MOREPENHTL,BLUECOAST,05-DEC-2006
Bosch Chassis Systems India Ltd.,KALYANBRAK,BOSCHCHASY,10-FEB-2006
Cambridge Solutions Limited,SCANDENT,CAMBRIDGE,17-JUL-2006
Carol Info Services Limited,WOCKLIFE,CAROLINFO,27-SEP-2004
Centurion Bank of Punjab Limited,CENBNK,CENTBOP,06-DEC-2005
Chennai Petroleum Corporation Limited,MADRASREFN,CHENNPETRO,09-AUG-2000
Chettinad Cement Corporation Ltd,CHETNADCEM,CHETTINAD,17-MAY-2007
Cholamandalam DBS Finance Limited,CHOLAINV,CHOLADBS,01-JUN-2006
Clariant Chemicals (India) Limited,COLORCHEM,CLNINDIA,05-JUN-2006
Color Chips Limited,ARHAMFISCL,COLORCHIPS,04-APR-2006
Core Emballage Ltd.,COREBIO,COREEMBLG,15-OCT-2001
Crest Animation Studios Limited,CRESTCOMM,CRESTANI,04-JAN-2005
Cummins India Ltd.,KIRLOSKCUM,CUMMINSIND,17-JUN-2005
DIC India Limited,COATESIND,DICIND,06-SEP-2004
Elecon Engineering Co Ltd,ELECONENGG,ELECON,29-SEP-2006
Entegra Limited,INDUJENERT,ENTEGRA,25-APR-2007
Everest Industries Limited,ETERNEVRST,EVERESTIND,27-MAY-2005
Exide Industries Ltd.,CHLORIDIND,EXIDEIND,12-SEP-2005
FAG Bearings India Limited,FAGPRECISN,FAGBEARING,20-AUG-2001
Federal-Mogul Goetze (India) Limited.,GOETZEIND,FMGOETZE,12-SEP-2006
Flextronics Software Systems Limited,HUGHESSOFT,FSS,17-MAR-2005
GANESH HOUSING CORPORATION LTD.,GANHSGFIN,GANESHHOUC,02-MAR-2007
GMR Industries Limited,GMRVASAVI,GMRINDSTRS,28-APR-2006
GTL Limited,GLOBALTELE,GTL,14-JAN-2005
GTN Industries Limited,GTNTEXT,GTNIND,24-FEB-2006
Gillette India Limited,INDSHAVING,GILLETTE,04-APR-2006
GlaxoSmithKline Consumer Healthcare Limited,SMITKLBECH,GSKCONS,29-JUL-2003
Graphite India Limited,CARBEVFLOW,GRAPHITE,13-JAN-2003
Greaves Cotton Limited,GREAVES,GREAVESCOT,09-SEP-2004
Greenply Industries Ltd,MITTALLAMI,GREENPLY,09-DEC-2004
Gujarat Apollo Industries Limited,GUJAPOLEQP,GUJAPOLIND,04-JUN-2007
HONEYWELL AUTOMATION INDIA LIMITED,TATAHONEY,HONAUT,24-MAR-2005
Hcl Infosystems Ltd,HCL-HP,HCL-INSYS,12-APR-2000
Himadri Chemicals And Industries Ltd,HIMADCHEM,HCIL,02-MAR-2007
Hinduja TMT Ltd,HINDUJAFIN,HTMT,13-JAN-2003
Hindustan Construction Co. Ltd,HINDCONS,HCC,10-JUL-2006
Hitachi Home and Life Solutions (India) Limited,AMTREXAPPL,HITACHIHOM,04-APR-2006
Honda Siel Power Products Ltd.,SHRMHONDA,HONDAPOWER,04-APR-2006
IG Petrochemicals Ltd.,IGPETRO,IGPL,29-JAN-2007
ING Vysya Bank Limited,VYSYABANK,INGVYSYABK,16-AUG-2005
ITD Cementation India Limited,TRAFALHSE,ITDCEM,16-AUG-2005
Igarashi Motors India Limited,CGIGARSH,IGARASHI,21-APR-2005
Indo Count Industries Ltd,INDOCOUNT,ICIL,12-SEP-2005
Infomedia India Limited,TATAPRESS,TATAINFO,17-SEP-2003
JBM Auto Limited,JBMAUTOCOM,JBMA,04-JAN-2006
JD Orgochem Limited,JAYSYNTDYE,JDORGO,13-SEP-2004
JSW Steel Limited,JSWSTL,JSWSTEEL,16-SEP-2005
Jindal Saw Limited,SAWPIPES,JINDALSAW,18-FEB-2005
Jubilant Organosys Limited,VAMORGANIC,JUBILANT,30-SEP-2003
KEC Infrastructures Limited,KECINTL,KECINFRA,21-FEB-2006
Kansai Nerolac Paints Limited,GOODLASNER,KANSAINER,26-JUL-2006
Kesar Enterprises Ltd.,KESARENTER,KESARENT,02-JAN-2007
Kinetic Motor Company Limited,KINHONDA,KINETICMOT,20-SEP-2004
Kohinoor Foods Limited,SATNAMOVER,KOHINOOR,18-AUG-2006
Kotak Mahindra Bank Limited,KOTAKMAH,KOTAKBANK,21-APR-2003
LANXESS ABS Limited,ABSIND,LANABS,14-JUN-2005
Lotte India Corporation Limited,PARRYSCON,LOTTEINDIA,17-DEC-2004
MM Forgings Ltd.,MMFORGINGS,MMFL,20-DEC-2006
Madura Coats Limited,COATVIYELA,MADURACOAT,29-NOV-2002
Man Industries (India) Ltd.,MANALUMN,MANINDS,24-JUN-2005
Marico Limited,MARICOIND,MARICO,14-JUN-2005
Marksans Pharma Limited,TASCPHARMA,MARKSANS,14-NOV-2005
Micro Inks Limited,HINDINKS,MICRO,26-MAR-2004
Mirza International Limited,MIRZATAN,MIRZAINT,05-JUL-2006
MphasiS Limited,BFLSOFTWAR,MPHASISBFL,15-JUN-2004
MphasiS Limited,MPHASISBFL,MPHASIS,26-DEC-2006
Nagreeka Exports Ltd,NAGREKAEXP,NAGREEKA,22-DEC-2005
Nalwa Sons Investments Limited,JSTRIPS,NSIL,07-JUN-2005
Nava Bharat Ventures Limited,NAVBARFERO,NBVENTURES,31-JUL-2006
Netvista Information Technology Ltd,KRAFTIND,NETVISTAIT,09-AUG-2000
Nilkamal Limited,NILKAMPLST,NILKAMAL,05-JAN-2007
NuCent Finance Ltd,PRESSMAN,NUCENTFIN,20-AUG-2001
OCL India Ltd.,ORISSACEM,OCL,15-SEP-2004
PAE Limited,PREMAUTOEL,PAEL,23-NOV-2005
PSL Limited,PSLHOLD,PSL,19-MAY-2003
Panasonic AVC Networks India Co. Limited.,MTAL,PAVCI,12-MAR-2004
Peninsula Land Limited,MORARJESPG,MORAREALTY,15-OCT-2004
Peninsula Land Limited,MORAREALTY,PENINLAND,09-JUN-2006
Pharmacia Healthcare Limited,ABBOTTLAB,PHARMACIA,24-MAR-2003
Precot Meridian Limited,PRECOTMILL,PRECOT,01-NOV-2006
Premier Limited,PREMAUTO,PREMIER,14-JUN-2005
Pricol Limited,PREMINSTR,PRICOL,16-AUG-2005
Procter & Gamble Hygiene and Health Care Limited,P&G,PGHH,07-JUL-2004
Quintegra Solutions Limited,SOFFIASOFT,QUINTEGRA,22-AUG-2005
RSWM Limited,RAJASSPG,RSWM,01-SEP-2006
Rane Holdings Limited,RANEMADRAS,RANEHOLDIN,22-AUG-2005
Reliance Communications Limited,RCVL,RCOM,30-JUN-2006
Reliance Energy Limited,BSES,REL,12-MAR-2004
Roofit Industries Ltd,RATNABLDG,ROOFITIND,15-SEP-1999
Rpg Cables Ltd,RPGTELECOM,RPGCABLES,04-APR-2006
Rpg Life Sciences Limited,SEARLEIND,RPGLS,05-DEC-2006
Rpg Transmission Ltd,SAELTD,RPGTLTD,05-DEC-2006
SI Group - India Limited,HERDILCHEM,SCHENHERD,04-APR-2006
SI Group - India Limited,SCHENHERD,SIGROUPIND,28-NOV-2006
SIL Investments Limited,SUTLEJINDS,SILINV,21-JUN-2007
SKF India Limited,SKFBEARING,SKFINDIA,20-OCT-2004
Sagar Cements Ltd.,SAGARCEM,SAGCEM,29-JAN-2007
Sambhaav Media Limited,PERLENGINF,SAMBHAAV,18-OCT-2005
Saregama India Limited,GRAMOPHONE,SAREGAMA,20-AUG-2001
Sathavahana Ispat Ltd,SATHVANISP,SATHAISPAT,27-DEC-2006
Sharyans Resources Ltd.,SHARYANRES,SHARRESLTD,27-DEC-2006
Shiva Texyarn Limited,ANAMALFIN,SHIVTEX,22-JAN-2004
Shreyas Shipping & Logistics Limited,SHREYASHIP,SHREYAS,03-APR-2006
Simplex Infrastructures Limited,SIMPLEXCON,SIMPLEXINF,21-DEC-2005
Siyaram Silk Mills Ltd,SIYARSILK,SIYSIL,29-JAN-2007
Somany Ceramics Limited,SPLLTD,SOMANYCERA,21-MAR-2007
South East Asia Marine Engineering & Construction Limited,PEERLESHIP,SEAMECLTD,20-AUG-2001
Spentex Industries Ltd,SPENTXIND,SPENTEX,20-DEC-2006
Sterling Biotech Limited,STERLINTEA,STERLINBIO,09-JUL-2003
Sunflag Iron And Steel Company Limited,SUNFLAGIRN,SUNFLAG,29-SEP-2005
TVS Motor Company Limited,TVS-SUZUKI,TVSMOTOR,03-DEC-2001
Tata Coffee Limited,CONSCOFFEE,TATACOFFEE,04-APR-2006
Tata Investment Corporation Ltd.,INVESTCORP,TATAINVEST,07-JUL-2005
Tata Motors Limited,TELCO,TATAMOTORS,26-DEC-2003
Tata Sponge Iron Ltd.,IPITATASPO,TATASPONGE,11-FEB-2004
Tata Steel Limited,TISCO,TATASTEEL,17-OCT-2005
Tata Teleservices (Maharashtra) Limited,HUGHESTELE,TATATELSER,25-JUN-2003
Tata Teleservices (Maharashtra) Limited,TATATELSER,TTML,14-JAN-2005
The Madras Aluminium Co Ltd,MADRASALMN,MALCO,12-APR-2007
Timken India Limited,TATATIMKEN,TIMKEN,06-FEB-2007
Torrent Power AEC Limited,AHMEDELEC,TORRENTAEC,17-JUN-2005
Torrent Power SEC Limited,SURATELEC,TORRENTSEC,07-JUN-2005
Trent Ltd.,LAKME,TRENT,07-JUN-2004
Trigyn Technologies Limited,LEADEDSYS,TRIGYN,26-JUL-2005
Tvs Srichakra Ltd,SRICHAKTYR,TVSSRICHAK,13-FEB-2007
UFLEX Limited,FLEX,UFLEX,17-APR-2007
Usha Martin Limited,USHABEL,USHAMART,20-OCT-2004
Vardhman Holdings Limited,VSGML,VHL,17-APR-2006
Vardhman Textiles Limited,MAHAVIRSPG,VTL,11-OCT-2006
Vatsa Music Ltd.,BABABUSERV,VATSMUSC,20-AUG-2001
Venky's (India) Limited,WESTHATCH,VENKEYS,17-SEP-2003
Videocon Industries Limited,VDOLEASE,VIDEOIND,21-SEP-2004
Wartsila India Ltd,WARTDEISEL,WARTSILA,20-SEP-2000
Wendt (India) Ltd.,WENDTINDIA,WENDT,07-AUG-2006
Windsor Machines Limited,DGPWINDSOR,WINDSOR,05-APR-2005
Wopolin Plastics Limited,BAJAJPLAST,WOPOLIN,23-NOV-2005
Wyeth Limited,WYETHLEDE,WYETH,01-SEP-2006
